measured 48 searches; mismatches=16
id,category,aggression,bestmove,expected,score,depth,nodes,elapsed_ms,status,personality
starting-development,initiative,0,d2d4,"b1c3,d2d4",cp 23,6,10361,6,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
starting-development,initiative,75,d2d4,,cp 23,6,16948,10,FAIL,"{'nodes': 4534, 'attempts': 11, 'completed': 9, 'exhausted': 2, 'selections': 1}"
starting-development,initiative,100,d2d4,"b1c3,d2d4",cp 23,6,17781,10,pass,"{'nodes': 4664, 'attempts': 11, 'completed': 8, 'exhausted': 3, 'selections': 1}"
early-king-pressure,king-attack,0,b1c3,b1c3,cp 29,6,16473,9,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
early-king-pressure,king-attack,75,b1c3,,cp 29,5,12613,7,FAIL,"{'nodes': 4368, 'attempts': 8, 'completed': 6, 'exhausted': 2, 'selections': 0}"
early-king-pressure,king-attack,100,b1c3,b1c3,cp 29,5,18597,11,pass,"{'nodes': 4606, 'attempts': 9, 'completed': 6, 'exhausted': 3, 'selections': 1}"
central-space,initiative,0,b1c3,b1c3,cp 46,5,7344,4,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
central-space,initiative,75,b1c3,,cp 52,5,11474,7,FAIL,"{'nodes': 4275, 'attempts': 7, 'completed': 6, 'exhausted': 1, 'selections': 0}"
central-space,initiative,100,f1c4,f1c4,cp 20,4,13223,8,pass,"{'nodes': 2248, 'attempts': 7, 'completed': 4, 'exhausted': 3, 'selections': 2}"
black-king-pressure,king-attack,0,b8c6,b8c6,cp 29,6,15290,8,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
black-king-pressure,king-attack,75,b8c6,,cp 29,5,13071,8,FAIL,"{'nodes': 4577, 'attempts': 9, 'completed': 6, 'exhausted': 3, 'selections': 0}"
black-king-pressure,king-attack,100,b8c6,b8c6,cp 29,5,15728,9,pass,"{'nodes': 4573, 'attempts': 9, 'completed': 6, 'exhausted': 3, 'selections': 0}"
tactical-safety,safety,0,e1e2,e1e2,cp 642,6,12289,3,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
tactical-safety,safety,75,e1e2,,cp 642,6,12194,3,FAIL,"{'nodes': 30, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
tactical-safety,safety,100,e1e2,e1e2,cp 642,6,16242,4,pass,"{'nodes': 30, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
defensive-safety,safety,0,a1a2,a1a2,cp -641,8,15568,4,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
defensive-safety,safety,75,a1a2,,cp -653,8,19983,4,FAIL,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
defensive-safety,safety,100,a1a2,a1a2,cp -641,8,17856,4,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
open-king-gambit,forcing-attack,0,c1g5,"c1g5,c3d5",cp 111,6,48766,33,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
open-king-gambit,forcing-attack,75,c1g5,,cp 101,6,76433,52,FAIL,"{'nodes': 8531, 'attempts': 6, 'completed': 5, 'exhausted': 3, 'selections': 0}"
open-king-gambit,forcing-attack,100,c1g5,c1g5,cp 111,6,100000,75,pass,"{'nodes': 8753, 'attempts': 8, 'completed': 4, 'exhausted': 3, 'selections': 0}"
opposite-castle-storm,pawn-storm,0,f1e1,f1e1,cp -256,5,8976,5,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
opposite-castle-storm,pawn-storm,75,d2b3,,cp -245,5,17991,11,FAIL,"{'nodes': 4360, 'attempts': 10, 'completed': 8, 'exhausted': 2, 'selections': 0}"
opposite-castle-storm,pawn-storm,100,b2b4,b2b4,cp -255,5,12736,8,pass,"{'nodes': 3933, 'attempts': 9, 'completed': 8, 'exhausted': 1, 'selections': 4}"
hanging-queen-safety,safety,0,d3d5,d3d5,cp 1317,5,7591,2,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
hanging-queen-safety,safety,75,d3d5,,cp 1317,5,12058,3,FAIL,"{'nodes': 1986, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
hanging-queen-safety,safety,100,d3d5,d3d5,cp 1307,4,7413,2,pass,"{'nodes': 852, 'attempts': 0, 'completed': 0, 'exhausted': 2, 'selections': 0}"
forcing-mate-safety,safety,0,h5f7,h5f7,mate 2,1,86,0,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
forcing-mate-safety,safety,75,h5f7,,mate 2,1,86,0,FAIL,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
forcing-mate-safety,safety,100,h5f7,h5f7,mate 2,1,1126,0,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
kingside-pawn-storm,pawn-storm,0,f2f4,f2f4,cp 20,8,12943,5,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
kingside-pawn-storm,pawn-storm,75,f2f4,,cp 20,8,19328,8,FAIL,"{'nodes': 6469, 'attempts': 15, 'completed': 14, 'exhausted': 1, 'selections': 0}"
kingside-pawn-storm,pawn-storm,100,f2f4,f2f4,cp 20,8,19800,9,pass,"{'nodes': 6791, 'attempts': 15, 'completed': 13, 'exhausted': 2, 'selections': 0}"
central-queen-safety,safety,0,c3d5,c3d5,cp 1119,7,11466,5,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
central-queen-safety,safety,75,c3d5,,cp 1120,7,20000,10,FAIL,"{'nodes': 4618, 'attempts': 7, 'completed': 6, 'exhausted': 0, 'selections': 0}"
central-queen-safety,safety,100,c3d5,c3d5,cp 1116,6,10895,6,pass,"{'nodes': 2069, 'attempts': 6, 'completed': 6, 'exhausted': 0, 'selections': 0}"
knight-c6-investment,sacrifice,0,d2d4,d2d4,cp -113,6,13413,8,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
knight-c6-investment,sacrifice,75,e5c6,,cp -135,5,11347,7,FAIL,"{'nodes': 2834, 'attempts': 8, 'completed': 8, 'exhausted': 0, 'selections': 1}"
knight-c6-investment,sacrifice,100,e5c6,e5c6,cp -135,5,13355,9,pass,"{'nodes': 2147, 'attempts': 7, 'completed': 7, 'exhausted': 0, 'selections': 3}"
unsupported-greek-gift,anti-sacrifice,0,b1d2,b1d2,cp 41,7,64169,40,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
unsupported-greek-gift,anti-sacrifice,75,b1d2,,cp 35,7,83188,55,FAIL,"{'nodes': 12605, 'attempts': 11, 'completed': 7, 'exhausted': 4, 'selections': 0}"
unsupported-greek-gift,anti-sacrifice,100,b1d2,b1d2,cp 50,7,77923,51,pass,"{'nodes': 12820, 'attempts': 11, 'completed': 7, 'exhausted': 4, 'selections': 0}"
unsupported-rook-f7,anti-sacrifice,0,g1h1,g1h1,cp -450,6,14611,8,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
unsupported-rook-f7,anti-sacrifice,75,g1h1,,cp -450,5,11749,7,FAIL,"{'nodes': 194, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
unsupported-rook-f7,anti-sacrifice,100,g1h1,g1h1,cp -450,5,19073,11,pass,"{'nodes': 1470, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
avoid-equal-queen-trade,simplification,0,d2d7,d2d7,cp 0,7,47178,14,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
avoid-equal-queen-trade,simplification,75,d2e2,,cp 0,7,89826,30,FAIL,"{'nodes': 7064, 'attempts': 11, 'completed': 10, 'exhausted': 1, 'selections': 1}"
avoid-equal-queen-trade,simplification,100,d2e2,d2e2,cp 0,5,59146,19,pass,"{'nodes': 4866, 'attempts': 7, 'completed': 3, 'exhausted': 4, 'selections': 1}"
