index	mg	eg
0	94	151
1	341	299
2	363	345
3	524	575
4	993	996
5	3	-6
6	22	3
7	-1	-4
8	37	55
9	-10	-18
10	-3	-7
11	-2	8
12	0	28
13	8	64
14	25	93
15	41	101
16	33	88
17	0	0
18	1	-6
19	1	1
20	10	1
21	8	6
22	0	-3
23	25	-14
24	-16	-5
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	97	149
34	139	146
35	61	140
36	93	107
37	60	114
38	131	103
39	21	142
40	-30	168
41	-27	57
42	-10	67
43	16	39
44	27	20
45	50	6
46	41	1
47	14	53
48	-31	50
49	-25	-1
50	-3	-15
51	-15	-23
52	13	-42
53	8	-42
54	2	-45
55	-2	-30
56	-36	-24
57	-43	-19
58	-23	-38
59	-17	-50
60	-2	-55
61	2	-64
62	-5	-49
63	-19	-40
64	-45	-42
65	-53	-36
66	-31	-44
67	-24	-61
68	-32	-57
69	-17	-68
70	-24	-53
71	-14	-63
72	-40	-59
73	-48	-26
74	-16	-43
75	-30	-53
76	-36	-29
77	-30	-40
78	-4	-54
79	7	-53
80	-51	-42
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	-197	-47
90	-105	-25
91	-39	3
92	-57	-12
93	73	-15
94	-114	-14
95	-17	-56
96	-124	-98
97	-84	-12
98	-49	12
99	82	-15
100	43	14
101	27	11
102	72	-12
103	8	-11
104	-21	-41
105	-54	-7
106	69	-5
107	45	36
108	78	31
109	100	18
110	151	10
111	86	1
112	51	-31
113	-7	-1
114	23	22
115	28	43
116	70	42
117	37	45
118	78	26
119	25	26
120	37	2
121	-18	-6
122	5	14
123	23	37
124	16	46
125	29	32
126	36	41
127	28	25
128	-4	3
129	-37	-14
130	0	19
131	10	16
132	20	29
133	21	24
134	20	7
135	22	-8
136	-21	-5
137	-32	-29
138	-60	-4
139	-22	5
140	0	10
141	-4	20
142	17	-11
143	-17	-10
144	-21	-34
145	-124	-16
146	-24	-37
147	-66	-6
148	-26	6
149	-15	-2
150	-29	-2
151	-19	-36
152	-26	-57
153	-41	-11
154	-2	-16
155	-105	-6
156	-49	-1
157	-36	0
158	-57	-5
159	2	-16
160	-16	-23
161	-38	-3
162	3	-8
163	-25	15
164	-21	-7
165	28	4
166	61	-9
167	13	0
168	-62	-13
169	-23	10
170	36	-4
171	38	5
172	39	7
173	36	1
174	55	14
175	41	7
176	-5	8
