measured 32 searches; mismatches=4
id,category,aggression,bestmove,expected,score,depth,nodes,elapsed_ms,status,personality
starting-development,initiative,0,b1c3,"b1c3,d2d4",cp 37,7,15931,9,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
starting-development,initiative,100,b1c3,"b1c3,d2d4",cp 22,6,15487,9,pass,"{'nodes': 4664, 'attempts': 12, 'completed': 9, 'exhausted': 3, 'selections': 1}"
early-king-pressure,king-attack,0,b1c3,b1c3,cp 22,6,17278,10,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
early-king-pressure,king-attack,100,b1c3,b1c3,cp 30,5,17245,11,pass,"{'nodes': 4606, 'attempts': 9, 'completed': 6, 'exhausted': 3, 'selections': 0}"
central-space,initiative,0,b1c3,b1c3,cp 49,5,5721,4,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
central-space,initiative,100,f1c4,f1c4,cp 22,4,13298,9,pass,"{'nodes': 1975, 'attempts': 6, 'completed': 4, 'exhausted': 2, 'selections': 2}"
black-king-pressure,king-attack,0,b8c6,b8c6,cp 22,6,15901,11,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
black-king-pressure,king-attack,100,b8c6,b8c6,cp 22,4,10341,7,pass,"{'nodes': 1887, 'attempts': 7, 'completed': 6, 'exhausted': 1, 'selections': 1}"
tactical-safety,safety,0,e1e2,e1e2,cp 642,6,12704,4,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
tactical-safety,safety,100,e1e2,e1e2,cp 641,6,17397,5,pass,"{'nodes': 30, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
defensive-safety,safety,0,a1a2,a1a2,cp -646,7,9433,3,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
defensive-safety,safety,100,a1a2,a1a2,cp -660,8,16420,4,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
open-king-gambit,forcing-attack,0,c1g5,"c1g5,c3d5",cp 108,7,99456,76,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
open-king-gambit,forcing-attack,100,c1g5,c1g5,cp 106,6,75818,63,pass,"{'nodes': 8698, 'attempts': 8, 'completed': 5, 'exhausted': 3, 'selections': 0}"
opposite-castle-storm,pawn-storm,0,b2b4,f1e1,cp -256,5,10693,7,FAIL,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
opposite-castle-storm,pawn-storm,100,b2b4,b2b4,cp -260,4,8656,6,pass,"{'nodes': 1377, 'attempts': 8, 'completed': 8, 'exhausted': 0, 'selections': 4}"
hanging-queen-safety,safety,0,d3d5,d3d5,cp 1317,5,7591,2,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
hanging-queen-safety,safety,100,d3d5,d3d5,cp 1307,4,7413,2,pass,"{'nodes': 852, 'attempts': 0, 'completed': 0, 'exhausted': 2, 'selections': 0}"
forcing-mate-safety,safety,0,h5f7,h5f7,mate 2,1,86,0,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
forcing-mate-safety,safety,100,h5f7,h5f7,mate 2,1,1127,0,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
kingside-pawn-storm,pawn-storm,0,f2f4,f2f4,cp 20,8,12943,6,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
kingside-pawn-storm,pawn-storm,100,f2f4,f2f4,cp 20,8,19800,9,pass,"{'nodes': 6791, 'attempts': 15, 'completed': 13, 'exhausted': 2, 'selections': 0}"
central-queen-safety,safety,0,c3d5,c3d5,cp 1118,8,18687,10,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
