id,category,aggression,bestmove,expected,score,depth,nodes,elapsed_ms,status,personality
starting-development,initiative,0,b1c3,b1c3,cp 22,6,8352,7,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
starting-development,initiative,100,b1c3,b1c3,cp 22,6,16194,19,pass,"{'nodes': 4664, 'attempts': 11, 'completed': 8, 'exhausted': 3, 'selections': 1}"
early-king-pressure,king-attack,0,b1c3,b1c3,cp 23,6,17004,54,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
early-king-pressure,king-attack,100,g1f3,b1c3,cp 23,5,19710,33,FAIL,"{'nodes': 4606, 'attempts': 9, 'completed': 6, 'exhausted': 3, 'selections': 1}"
central-space,initiative,0,b1c3,b1c3,cp 54,5,6597,10,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
central-space,initiative,100,f1c4,f1c4,cp 20,4,11222,19,pass,"{'nodes': 2248, 'attempts': 7, 'completed': 4, 'exhausted': 3, 'selections': 2}"
black-king-pressure,king-attack,0,b8c6,b8c6,cp 23,6,15235,22,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
black-king-pressure,king-attack,100,b8c6,b8c6,cp 23,5,15339,24,pass,"{'nodes': 4573, 'attempts': 9, 'completed': 6, 'exhausted': 3, 'selections': 0}"
tactical-safety,safety,0,e1e2,e1e2,cp 647,6,14578,10,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
tactical-safety,safety,100,e1e2,e1e2,cp 646,6,19195,12,pass,"{'nodes': 30, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
defensive-safety,safety,0,a1a2,a1a2,cp -652,7,12953,7,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
defensive-safety,safety,100,a1a2,a1a2,cp -652,7,14743,9,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
open-king-gambit,forcing-attack,0,c1g5,c3d5,cp 106,6,53705,85,FAIL,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
open-king-gambit,forcing-attack,100,c3d5,c1g5,cp 108,5,55538,97,FAIL,"{'nodes': 4771, 'attempts': 7, 'completed': 4, 'exhausted': 3, 'selections': 0}"
opposite-castle-storm,pawn-storm,0,a2a4,f1e1,cp -268,5,14173,18,FAIL,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
opposite-castle-storm,pawn-storm,100,b2b4,b2b4,cp -265,5,15369,32,pass,"{'nodes': 4002, 'attempts': 9, 'completed': 8, 'exhausted': 1, 'selections': 4}"
hanging-queen-safety,safety,0,d3d5,d3d5,cp 1326,5,7626,5,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
hanging-queen-safety,safety,100,d3d5,d3d5,cp 1316,4,7403,4,pass,"{'nodes': 852, 'attempts': 0, 'completed': 0, 'exhausted': 2, 'selections': 0}"
forcing-mate-safety,safety,0,h5f7,h5f7,mate 2,1,86,0,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
forcing-mate-safety,safety,100,h5f7,h5f7,mate 2,1,1122,1,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
kingside-pawn-storm,pawn-storm,0,f2f4,f2f4,cp 16,8,12014,12,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
kingside-pawn-storm,pawn-storm,100,f2f4,f2f4,cp 16,8,18621,20,pass,"{'nodes': 5804, 'attempts': 15, 'completed': 13, 'exhausted': 2, 'selections': 0}"
central-queen-safety,safety,0,c3d5,c3d5,cp 1127,7,13767,16,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
central-queen-safety,safety,100,c3d5,c3d5,cp 1122,6,12581,17,pass,"{'nodes': 2329, 'attempts': 6, 'completed': 6, 'exhausted': 0, 'selections': 0}"
knight-c6-investment,sacrifice,0,d2d4,d2d4,cp -116,6,13639,27,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
knight-c6-investment,sacrifice,100,e5c6,e5c6,cp -138,5,15305,24,pass,"{'nodes': 1858, 'attempts': 7, 'completed': 7, 'exhausted': 0, 'selections': 3}"
unsupported-greek-gift,anti-sacrifice,0,b1d2,b1d2,cp 52,7,54923,79,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
unsupported-greek-gift,anti-sacrifice,100,b1d2,b1d2,cp 46,6,49575,68,pass,"{'nodes': 8666, 'attempts': 10, 'completed': 7, 'exhausted': 3, 'selections': 0}"
unsupported-rook-f7,anti-sacrifice,0,g1h1,g1h1,cp -455,5,10405,7,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
unsupported-rook-f7,anti-sacrifice,100,g1h1,g1h1,cp -442,4,14040,12,pass,"{'nodes': 578, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
avoid-equal-queen-trade,simplification,0,d2d7,d2d7,cp 0,7,48583,21,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
avoid-equal-queen-trade,simplification,100,d2d7,d2e2,cp 0,5,66030,39,FAIL,"{'nodes': 4610, 'attempts': 6, 'completed': 2, 'exhausted': 4, 'selections': 0}"
