id,category,aggression,bestmove,expected,score,depth,nodes,elapsed_ms,status,personality
starting-development,initiative,0,e2e3,b1c3,cp 22,6,14882,10,FAIL,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
starting-development,initiative,100,b1c3,b1c3,cp 30,5,6729,5,pass,"{'nodes': 2585, 'attempts': 10, 'completed': 8, 'exhausted': 2, 'selections': 1}"
early-king-pressure,king-attack,0,b1c3,b1c3,cp 34,6,17059,13,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
early-king-pressure,king-attack,100,b1c3,b1c3,cp 22,4,10814,8,pass,"{'nodes': 2048, 'attempts': 8, 'completed': 6, 'exhausted': 2, 'selections': 0}"
central-space,initiative,0,b1c3,b1c3,cp 32,5,10955,9,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
central-space,initiative,100,b1c3,f1c4,cp 34,4,10723,9,FAIL,"{'nodes': 2248, 'attempts': 5, 'completed': 2, 'exhausted': 3, 'selections': 0}"
black-king-pressure,king-attack,0,b8c6,b8c6,cp 34,6,17187,12,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
black-king-pressure,king-attack,100,b8c6,b8c6,cp 34,5,20000,16,pass,"{'nodes': 4007, 'attempts': 9, 'completed': 6, 'exhausted': 2, 'selections': 0}"
tactical-safety,safety,0,e1e2,e1e2,cp 644,6,13853,4,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
tactical-safety,safety,100,e1e2,e1e2,cp 634,5,9422,3,pass,"{'nodes': 24, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
defensive-safety,safety,0,a1a2,a1a2,cp -651,7,10261,3,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
defensive-safety,safety,100,a1a2,a1a2,cp -651,7,11838,3,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
open-king-gambit,forcing-attack,0,c3d5,c3d5,cp 104,6,42630,38,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
open-king-gambit,forcing-attack,100,h2h3,c1g5,cp 93,5,54228,51,FAIL,"{'nodes': 4714, 'attempts': 4, 'completed': 4, 'exhausted': 3, 'selections': 0}"
opposite-castle-storm,pawn-storm,0,h2h3,f1e1,cp -261,5,10407,8,FAIL,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
opposite-castle-storm,pawn-storm,100,b2b4,b2b4,cp -262,5,15404,12,pass,"{'nodes': 4003, 'attempts': 9, 'completed': 8, 'exhausted': 1, 'selections': 4}"
hanging-queen-safety,safety,0,d3d5,d3d5,cp 1326,5,7861,2,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
hanging-queen-safety,safety,100,d3d5,d3d5,cp 1316,4,7724,2,pass,"{'nodes': 852, 'attempts': 0, 'completed': 0, 'exhausted': 2, 'selections': 0}"
forcing-mate-safety,safety,0,h5f7,h5f7,mate 2,1,86,0,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
forcing-mate-safety,safety,100,h5f7,h5f7,mate 2,1,1121,0,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
kingside-pawn-storm,pawn-storm,0,f2f4,f2f4,cp 19,8,12288,6,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
kingside-pawn-storm,pawn-storm,100,f2f4,f2f4,cp 19,8,19261,10,pass,"{'nodes': 5748, 'attempts': 15, 'completed': 13, 'exhausted': 2, 'selections': 0}"
central-queen-safety,safety,0,c3d5,c3d5,cp 1126,7,12743,7,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
central-queen-safety,safety,100,c3d5,c3d5,cp 1122,6,16440,11,pass,"{'nodes': 1688, 'attempts': 6, 'completed': 6, 'exhausted': 0, 'selections': 0}"
knight-c6-investment,sacrifice,0,d2d4,d2d4,cp -113,6,16048,12,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
knight-c6-investment,sacrifice,100,d2d4,e5c6,cp -114,5,13678,11,FAIL,"{'nodes': 3608, 'attempts': 8, 'completed': 7, 'exhausted': 1, 'selections': 0}"
unsupported-greek-gift,anti-sacrifice,0,b1d2,b1d2,cp 56,7,95630,75,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
unsupported-greek-gift,anti-sacrifice,100,b1d2,b1d2,cp 52,6,49523,41,pass,"{'nodes': 8784, 'attempts': 10, 'completed': 6, 'exhausted': 4, 'selections': 0}"
unsupported-rook-f7,anti-sacrifice,0,g1h1,g1h1,cp -431,6,19846,13,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
unsupported-rook-f7,anti-sacrifice,100,g1h1,g1h1,cp -455,5,20000,16,pass,"{'nodes': 793, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
avoid-equal-queen-trade,simplification,0,d2d7,d2d7,cp 0,7,46043,18,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
avoid-equal-queen-trade,simplification,100,d2d7,d2e2,cp 0,5,58638,24,FAIL,"{'nodes': 4610, 'attempts': 6, 'completed': 2, 'exhausted': 4, 'selections': 0}"
