id,category,aggression,bestmove,expected,score,depth,nodes,elapsed_ms,status,personality
starting-development,initiative,0,d2d4,b1c3,cp 23,6,13597,10,FAIL,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
starting-development,initiative,100,b1c3,b1c3,cp 32,5,7716,6,pass,"{'nodes': 2585, 'attempts': 9, 'completed': 7, 'exhausted': 2, 'selections': 1}"
early-king-pressure,king-attack,0,b1c3,b1c3,cp 24,6,19552,15,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
early-king-pressure,king-attack,100,b1c3,b1c3,cp 37,5,18559,15,pass,"{'nodes': 4608, 'attempts': 9, 'completed': 7, 'exhausted': 3, 'selections': 0}"
central-space,initiative,0,b1c3,b1c3,cp 38,5,7914,6,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
central-space,initiative,100,b1c3,f1c4,cp 37,4,10725,9,FAIL,"{'nodes': 2248, 'attempts': 5, 'completed': 2, 'exhausted': 3, 'selections': 0}"
black-king-pressure,king-attack,0,b8c6,b8c6,cp 24,6,18943,14,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
black-king-pressure,king-attack,100,b8c6,b8c6,cp 37,5,18825,15,pass,"{'nodes': 4573, 'attempts': 9, 'completed': 6, 'exhausted': 3, 'selections': 0}"
tactical-safety,safety,0,e1e2,e1e2,cp 648,6,13337,4,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
tactical-safety,safety,100,e1e2,e1e2,cp 638,5,9669,3,pass,"{'nodes': 24, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
defensive-safety,safety,0,a1a2,a1a2,cp -656,7,10052,3,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
defensive-safety,safety,100,a1a2,a1a2,cp -656,7,11769,3,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
open-king-gambit,forcing-attack,0,c1g5,c3d5,cp 110,6,70424,60,FAIL,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
open-king-gambit,forcing-attack,100,c1g5,c1g5,cp 94,5,56161,51,pass,"{'nodes': 4800, 'attempts': 7, 'completed': 4, 'exhausted': 3, 'selections': 0}"
opposite-castle-storm,pawn-storm,0,f1e1,f1e1,cp -269,5,13075,9,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
opposite-castle-storm,pawn-storm,100,b2b4,b2b4,cp -271,5,16026,12,pass,"{'nodes': 3868, 'attempts': 9, 'completed': 8, 'exhausted': 1, 'selections': 4}"
hanging-queen-safety,safety,0,d3d5,d3d5,cp 1334,5,7382,2,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
hanging-queen-safety,safety,100,d3d5,d3d5,cp 1324,4,7167,2,pass,"{'nodes': 852, 'attempts': 0, 'completed': 0, 'exhausted': 2, 'selections': 0}"
forcing-mate-safety,safety,0,h5f7,h5f7,mate 2,1,86,0,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
forcing-mate-safety,safety,100,h5f7,h5f7,mate 2,1,1117,0,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
kingside-pawn-storm,pawn-storm,0,f2f4,f2f4,cp 22,8,14174,7,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
kingside-pawn-storm,pawn-storm,100,f2f4,f2f4,cp 24,7,11660,6,pass,"{'nodes': 3696, 'attempts': 14, 'completed': 13, 'exhausted': 1, 'selections': 0}"
central-queen-safety,safety,0,c3d5,c3d5,cp 1134,7,12200,7,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
central-queen-safety,safety,100,c3d5,c3d5,cp 1129,6,11037,7,pass,"{'nodes': 1872, 'attempts': 6, 'completed': 6, 'exhausted': 0, 'selections': 0}"
knight-c6-investment,sacrifice,0,d2d4,d2d4,cp -113,6,12301,9,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
knight-c6-investment,sacrifice,100,e5c6,e5c6,cp -137,5,12487,10,pass,"{'nodes': 3227, 'attempts': 8, 'completed': 8, 'exhausted': 0, 'selections': 1}"
unsupported-greek-gift,anti-sacrifice,0,b1d2,b1d2,cp 50,7,59994,45,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
unsupported-greek-gift,anti-sacrifice,100,b1d2,b1d2,cp 46,6,47860,38,pass,"{'nodes': 8782, 'attempts': 10, 'completed': 6, 'exhausted': 4, 'selections': 0}"
unsupported-rook-f7,anti-sacrifice,0,g1h1,g1h1,cp -440,6,19175,13,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
unsupported-rook-f7,anti-sacrifice,100,g1h1,g1h1,cp -449,4,10957,9,pass,"{'nodes': 451, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
