index	mg	eg
0	94	150
1	343	302
2	365	347
3	527	579
4	1000	1003
5	2	-5
6	23	4
7	-2	-2
8	37	55
9	-9	-18
10	-2	-9
11	-3	7
12	0	28
13	8	63
14	25	94
15	41	102
16	33	88
17	0	0
18	1	-6
19	1	1
20	10	1
21	9	7
22	0	-3
23	26	-12
24	-17	-4
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	98	150
34	140	147
35	61	141
36	94	108
37	60	115
38	132	104
39	21	143
40	-30	169
41	-27	58
42	-10	67
43	16	39
44	27	19
45	50	6
46	41	1
47	14	53
48	-31	50
49	-25	-1
50	-2	-15
51	-15	-23
52	12	-43
53	8	-43
54	2	-44
55	-2	-30
56	-36	-24
57	-43	-19
58	-22	-38
59	-17	-50
60	-2	-56
61	2	-64
62	-4	-49
63	-20	-41
64	-46	-44
65	-51	-36
66	-32	-44
67	-25	-61
68	-32	-57
69	-18	-68
70	-24	-52
71	-15	-63
72	-39	-59
73	-48	-27
74	-17	-44
75	-28	-53
76	-36	-29
77	-32	-41
78	-4	-55
79	8	-54
80	-51	-42
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	-198	-47
90	-106	-25
91	-39	3
92	-57	-12
93	74	-15
94	-115	-14
95	-17	-56
96	-125	-99
97	-84	-12
98	-49	12
99	83	-15
100	43	14
101	27	11
102	73	-12
103	8	-11
104	-21	-41
105	-54	-7
106	69	-5
107	45	36
108	78	31
109	101	18
110	152	10
111	87	1
112	51	-31
113	-7	-1
114	23	22
115	29	44
116	70	42
117	38	46
118	79	26
119	25	26
120	37	2
121	-18	-6
122	5	14
123	23	37
124	17	47
125	29	32
126	36	41
127	28	25
128	-4	3
129	-37	-14
130	0	19
131	10	16
132	20	29
133	21	24
134	21	7
135	23	-8
136	-21	-5
137	-32	-29
138	-60	-4
139	-22	5
140	-1	10
141	-5	20
142	17	-11
143	-17	-10
144	-21	-34
145	-125	-16
146	-25	-37
147	-66	-6
148	-26	6
149	-15	-2
150	-29	-2
151	-19	-36
152	-26	-57
153	-41	-11
154	-2	-16
155	-106	-6
156	-49	-1
157	-36	0
158	-57	-5
159	2	-16
160	-16	-23
161	-38	-3
162	3	-8
163	-25	15
164	-21	-7
165	28	4
166	61	-9
167	13	0
168	-62	-13
169	-23	10
170	36	-4
171	38	5
172	39	7
173	36	1
174	55	14
175	41	7
176	-5	8
177	-12	-1
178	-1	13
179	15	18
180	45	10
181	28	16
182	36	12
183	1	7
184	-6	8
185	-13	-1
186	10	3
187	13	19
188	28	23
189	30	10
190	2	13
191	7	8
192	-3	-9
193	6	-9
194	15	2
195	15	18
196	6	12
197	9	18
198	21	5
199	9	-7
200	6	-14
201	-4	-9
202	5	-13
203	15	-6
204	-1	8
205	6	6
206	17	-5
207	37	-20
208	-5	-26
209	-43	-17
210	-5	-5
211	-6	-12
212	-32	1
213	-20	-4
214	-21	-9
215	-53	-1
216	-28	-12
217	27	14
218	40	5
219	27	16
220	52	13
221	63	7
222	2	13
223	29	11
224	37	-6
225	22	10
226	30	12
227	51	4
228	66	10
229	89	-1
230	73	7
231	21	11
232	41	-2
233	-11	13
234	16	9
235	25	13
236	34	6
237	16	6
238	46	-4
239	62	-5
240	11	-3
241	-33	14
242	-19	11
243	2	19
244	27	2
245	14	0
246	29	2
247	-16	3
248	-33	3
249	-48	10
250	-42	7
251	-24	14
252	-18	5
253	-2	-7
254	-17	-1
255	-3	-8
256	-38	-15
257	-61	-4
258	-43	-4
259	-26	-5
260	-32	-2
261	-9	-9
262	-7	-12
263	-9	-8
264	-52	-17
265	-58	-10
266	-27	-7
267	-34	-3
268	-18	-2
269	-5	-13
270	8	-15
271	-17	-18
272	-99	-8
273	-34	-8
274	-20	-6
275	-23	-1
276	0	-15
277	7	-19
278	-10	-18
279	-39	1
280	-42	-17
281	-34	-20
282	-1	16
283	32	16
284	8	20
285	65	21
286	49	10
287	46	1
288	45	11
289	-23	-28
290	-45	15
291	-8	27
292	-2	38
293	-22	58
294	63	19
295	30	24
296	54	-12
297	-13	-31
298	-25	-4
299	8	1
300	9	46
301	32	45
302	59	29
303	51	14
304	52	-1
305	-36	-8
306	-30	16
307	-18	19
308	-25	42
309	-5	57
310	19	38
311	-10	56
