kind	name	offset	len
scalar	PAWN	0	1
scalar	KNIGHT	1	1
scalar	BISHOP	2	1
scalar	ROOK	3	1
scalar	QUEEN	4	1
scalar	ACTIVITY	5	1
scalar	TEMPO	6	1
scalar	PAWN_KING_MOBILITY	7	1
scalar	BISHOP_PAIR	8	1
scalar	DOUBLED_PAWN	9	1
scalar	ISOLATED_PAWN	10	1
array	PASSED_PAWN_BY_RANK	11	6
array	PROTECTED_PASSED_PAWN_BY_RANK	17	6
scalar	KING_SHELTER	23	1
scalar	OPEN_KING_FILE	24	1
table	PAWN	25	64
table	KNIGHT	89	64
table	BISHOP	153	64
table	ROOK	217	64
table	QUEEN	281	64
table	KING	345	64
array	KNIGHT_MOBILITY	409	9
array	BISHOP_MOBILITY	418	14
array	ROOK_MOBILITY	432	15
array	QUEEN_MOBILITY	447	28
scalar	ROOK_OPEN_FILE	475	1
scalar	ROOK_SEMI_OPEN_FILE	476	1
scalar	ROOK_ON_SEVENTH	477	1
scalar	KNIGHT_OUTPOST	478	1
scalar	BISHOP_OUTPOST	479	1
scalar	BACKWARD_PAWN	480	1
scalar	THREAT_MINOR_BY_PAWN	481	1
scalar	THREAT_HANGING	482	1
scalar	THREAT_BY_LOWER_VALUE	483	1
array	CONNECTED_PAWN_BY_RANK	484	6
array	BLOCKED_PASSER_BY_RANK	490	6
array	PASSER_OWN_KING_DISTANCE	496	8
array	PASSER_ENEMY_KING_DISTANCE	504	8
array	KING_DANGER_BY_BUCKET	512	16
array	SAFE_CHECK_BY_PIECE	528	4
array	SHELTER_KING_FILE_BY_DISTANCE	532	6
array	SHELTER_ADJACENT_FILE_BY_DISTANCE	538	6
array	STORM_KING_FILE_BY_DISTANCE	544	6
array	STORM_ADJACENT_FILE_BY_DISTANCE	550	6
array	BLOCKED_STORM_BY_DISTANCE	556	6
scalar	SPACE_AREA	562	1
scalar	SPACE_AREA_BY_PIECES	563	1
array	CANDIDATE_PASSER_BY_RANK	564	6
scalar	PAWN_ISLANDS	570	1
scalar	KING_PAWNLESS_FLANK	571	1
scalar	KNIGHT_PER_PAWN	572	1
scalar	BISHOP_PER_PAWN	573	1
scalar	ROOK_PER_PAWN	574	1
scalar	BISHOP_PAWNS_ON_COLOUR	575	1
array	UNSAFE_MOBILITY_BY_PIECE	576	4
array	PASSER_SAFE_PATH_BY_RANK	580	6
array	PASSER_FREE_PATH_BY_RANK	586	6
scalar	ROOK_BEHIND_PASSER	592	1
scalar	THREAT_BY_PAWN_PUSH	593	1
scalar	CASTLING_RIGHTS	594	1
array	TROPISM_BY_PIECE_DISTANCE	595	16
