id,category,aggression,bestmove,expected,score,depth,nodes,elapsed_ms,status,personality
starting-development,initiative,0,e2e3,b1c3,cp 23,6,11388,9,FAIL,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
starting-development,initiative,100,b1c3,b1c3,cp 23,6,20000,33,pass,"{'nodes': 3701, 'attempts': 11, 'completed': 8, 'exhausted': 2, 'selections': 1}"
early-king-pressure,king-attack,0,d2d4,b1c3,cp 34,5,8336,12,FAIL,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
early-king-pressure,king-attack,100,d2d4,b1c3,cp 34,5,20000,32,FAIL,"{'nodes': 2317, 'attempts': 9, 'completed': 6, 'exhausted': 2, 'selections': 0}"
central-space,initiative,0,b1c3,b1c3,cp 33,5,9611,15,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
central-space,initiative,100,b1c3,f1c4,cp 38,3,2821,5,FAIL,"{'nodes': 968, 'attempts': 4, 'completed': 2, 'exhausted': 2, 'selections': 0}"
black-king-pressure,king-attack,0,g8f6,b8c6,cp 38,5,9077,14,FAIL,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
black-king-pressure,king-attack,100,d7d5,b8c6,cp 32,4,6276,9,FAIL,"{'nodes': 2013, 'attempts': 8, 'completed': 6, 'exhausted': 2, 'selections': 0}"
tactical-safety,safety,0,e1e2,e1e2,cp 645,6,13654,9,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
tactical-safety,safety,100,e1e2,e1e2,cp 634,5,9710,7,pass,"{'nodes': 24, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
defensive-safety,safety,0,a1a2,a1a2,cp -650,7,9950,5,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
defensive-safety,safety,100,a1a2,a1a2,cp -650,7,11260,7,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
open-king-gambit,forcing-attack,0,a2a3,c3d5,cp 112,6,40405,68,FAIL,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
open-king-gambit,forcing-attack,100,a2a3,c1g5,cp 112,6,67463,128,FAIL,"{'nodes': 8692, 'attempts': 9, 'completed': 6, 'exhausted': 3, 'selections': 0}"
opposite-castle-storm,pawn-storm,0,h2h3,f1e1,cp -285,5,7243,9,FAIL,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
opposite-castle-storm,pawn-storm,100,b2b4,b2b4,cp -284,5,14805,23,pass,"{'nodes': 4107, 'attempts': 9, 'completed': 8, 'exhausted': 1, 'selections': 4}"
hanging-queen-safety,safety,0,d3d5,d3d5,cp 1343,5,8333,5,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
hanging-queen-safety,safety,100,d3d5,d3d5,cp 1333,4,6713,5,pass,"{'nodes': 852, 'attempts': 0, 'completed': 0, 'exhausted': 2, 'selections': 0}"
