index	mg	eg
0	94	149
1	350	308
2	371	353
3	537	589
4	1019	1022
5	2	-6
6	23	4
7	-3	-2
8	37	56
9	-9	-18
10	-2	-10
11	-3	6
12	1	28
13	8	64
14	25	96
15	41	103
16	33	89
17	0	0
18	1	-7
19	1	1
20	11	1
21	9	7
22	0	-3
23	27	-12
24	-17	-3
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	99	153
34	142	150
35	63	144
36	95	110
37	62	117
38	134	106
39	22	146
40	-31	172
41	-28	59
42	-11	68
43	16	40
44	27	19
45	51	6
46	42	1
47	14	54
48	-32	52
49	-26	-1
50	-2	-15
51	-15	-23
52	12	-44
53	8	-43
54	3	-45
55	-1	-29
56	-37	-24
57	-44	-19
58	-22	-38
59	-18	-51
60	-2	-57
61	2	-65
62	-3	-50
63	-21	-41
64	-48	-46
65	-50	-37
66	-32	-44
67	-26	-62
68	-32	-59
69	-18	-69
70	-24	-53
71	-16	-63
72	-40	-60
73	-50	-28
74	-18	-46
75	-28	-54
76	-36	-30
77	-33	-43
78	-5	-57
79	8	-56
80	-53	-43
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	-202	-48
90	-108	-26
91	-40	3
92	-58	-12
93	75	-15
94	-117	-14
95	-17	-57
96	-127	-100
97	-86	-12
98	-50	12
99	84	-15
100	44	14
101	28	11
102	74	-12
103	8	-11
104	-21	-42
105	-55	-7
106	71	-5
107	46	37
108	79	32
109	103	18
110	155	10
111	88	1
112	52	-32
113	-7	-1
114	23	22
115	29	45
116	71	43
117	39	47
118	80	27
119	25	27
120	38	2
121	-18	-6
122	5	14
123	23	37
124	18	48
125	30	33
126	36	42
127	29	26
128	-4	3
129	-38	-14
130	1	19
131	11	16
132	21	30
133	21	24
134	22	7
135	23	-8
136	-22	-5
137	-33	-30
138	-61	-4
139	-22	5
140	-2	11
141	-5	20
142	17	-11
143	-17	-10
144	-21	-35
145	-127	-16
146	-25	-38
147	-68	-6
148	-27	6
149	-15	-2
150	-30	-2
151	-20	-37
152	-27	-58
153	-42	-11
154	-2	-16
155	-108	-6
156	-50	-1
157	-37	0
158	-58	-5
159	2	-16
160	-16	-24
161	-39	-3
162	3	-8
163	-26	15
164	-21	-7
165	29	4
166	63	-9
167	13	0
168	-63	-13
169	-24	10
170	37	-4
171	39	5
172	40	7
173	37	1
174	56	14
175	42	7
176	-5	8
177	-12	-1
178	0	13
179	15	18
180	45	10
181	28	16
182	36	13
183	2	8
184	-6	8
185	-13	-1
186	10	3
187	13	20
188	29	24
189	30	10
190	2	13
191	7	8
192	-3	-9
193	6	-9
194	15	2
195	16	18
196	6	12
197	9	18
198	21	5
199	9	-7
200	6	-14
201	-4	-9
202	6	-13
203	14	-7
204	-1	8
205	7	6
206	17	-5
207	37	-20
208	-5	-27
209	-44	-17
210	-5	-5
211	-6	-13
212	-33	1
213	-20	-4
214	-22	-9
215	-54	-1
216	-29	-12
217	28	14
218	41	5
219	28	16
220	53	13
221	65	7
222	2	13
223	30	11
224	38	-6
225	23	10
226	31	12
227	52	4
228	68	10
229	90	-1
230	74	7
231	22	11
232	42	-2
233	-11	13
234	16	9
235	26	13
236	35	6
237	16	6
238	47	-4
239	64	-5
240	11	-3
241	-34	15
242	-20	11
243	2	20
244	27	2
245	14	0
246	30	2
247	-16	3
248	-33	4
249	-49	11
250	-43	7
251	-24	14
252	-19	5
253	-2	-7
254	-17	-1
255	-3	-8
256	-38	-15
257	-62	-4
258	-44	-4
259	-26	-5
260	-33	-3
261	-10	-9
262	-7	-12
263	-10	-8
264	-53	-17
265	-60	-10
266	-27	-7
267	-35	-3
268	-18	-2
269	-5	-13
270	8	-16
271	-17	-19
272	-100	-8
273	-35	-8
274	-19	-6
275	-24	-1
276	0	-15
277	7	-20
278	-10	-18
279	-39	1
280	-43	-17
281	-35	-21
282	-1	16
283	33	16
284	8	20
285	67	21
286	50	10
287	47	1
288	46	11
289	-24	-29
290	-46	15
291	-8	28
292	-2	39
293	-22	59
294	65	19
295	31	25
296	55	-12
297	-13	-32
298	-26	-4
299	8	1
300	9	47
301	33	46
302	61	30
303	52	14
304	53	-1
305	-37	-8
306	-31	16
307	-18	19
308	-26	43
309	-5	58
310	20	39
311	-10	57
312	-4	33
313	-8	-30
314	-34	23
315	-8	16
316	-13	45
317	-8	26
318	-10	32
319	-4	34
320	-6	18
321	-11	-28
322	2	-39
323	-15	7
324	-7	-7
325	-3	4
326	1	12
327	14	2
328	2	-7
329	-44	-38
330	-11	-39
331	6	-49
332	2	-28
333	6	-28
334	18	-39
335	-10	-57
336	-4	-51
337	-10	-52
338	-25	-44
339	2	-34
340	12	-58
341	-26	-22
342	-31	-51
343	-41	-36
344	-66	-60
345	-60	-93
346	46	-45
347	38	-25
348	1	-25
349	-50	-16
350	-22	15
351	21	1
352	35	-24
353	54	-18
354	17	17
355	-5	18
356	11	17
357	10	16
358	14	42
359	-27	25
360	-16	8
