id,category,aggression,bestmove,expected,score,depth,nodes,elapsed_ms,status,personality,baseline_bestmove,baseline_score,baseline_depth,baseline_nodes,baseline_elapsed_ms,baseline_status,baseline_personality,move_changed,expected_hit_delta
starting-development,initiative,0,d2d4,"b1c3,d2d4",cp 23,6,10361,5,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",d2d4,cp 23,6,10361,5,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
starting-development,initiative,100,d2d4,"b1c3,d2d4",cp 23,6,17781,9,pass,"{'nodes': 4664, 'attempts': 11, 'completed': 8, 'exhausted': 3, 'selections': 1}",d2d4,cp 23,6,17781,10,pass,"{'nodes': 4664, 'attempts': 11, 'completed': 8, 'exhausted': 3, 'selections': 1}",False,0
early-king-pressure,king-attack,0,b1c3,b1c3,cp 29,6,16473,8,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",b1c3,cp 29,6,16473,9,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
early-king-pressure,king-attack,100,b1c3,b1c3,cp 29,5,18597,10,pass,"{'nodes': 4606, 'attempts': 9, 'completed': 6, 'exhausted': 3, 'selections': 1}",b1c3,cp 29,5,18597,11,pass,"{'nodes': 4606, 'attempts': 9, 'completed': 6, 'exhausted': 3, 'selections': 1}",False,0
central-space,initiative,0,b1c3,b1c3,cp 46,5,7344,4,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",b1c3,cp 46,5,7344,4,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
central-space,initiative,100,f1c4,f1c4,cp 20,4,13223,7,pass,"{'nodes': 2248, 'attempts': 7, 'completed': 4, 'exhausted': 3, 'selections': 2}",f1c4,cp 20,4,13223,8,pass,"{'nodes': 2248, 'attempts': 7, 'completed': 4, 'exhausted': 3, 'selections': 2}",False,0
black-king-pressure,king-attack,0,b8c6,b8c6,cp 29,6,15290,7,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",b8c6,cp 29,6,15290,8,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
black-king-pressure,king-attack,100,b8c6,b8c6,cp 29,5,15728,8,pass,"{'nodes': 4573, 'attempts': 9, 'completed': 6, 'exhausted': 3, 'selections': 0}",b8c6,cp 29,5,15728,9,pass,"{'nodes': 4573, 'attempts': 9, 'completed': 6, 'exhausted': 3, 'selections': 0}",False,0
tactical-safety,safety,0,e1e2,e1e2,cp 642,6,12289,2,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",e1e2,cp 642,6,12289,3,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
tactical-safety,safety,100,e1e2,e1e2,cp 642,6,16242,3,pass,"{'nodes': 30, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",e1e2,cp 642,6,16242,4,pass,"{'nodes': 30, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
